C_TICK_N C_S C C_ TO_CHAR(C_FLT_ST SUBST SL_LOCATION_NAME                                   C_TO_ SUBSTR(T.SL_LOC

-------- --- - -- ---------------- ----- -------------------------------------------------- ----- ---------------

E2JD4967 509 I ES 05/08/2021 03:00 15035 Cardiff                                            57366 London

E2JD4967 509 O E2 06/08/2021 08:30 57366 London                                             15035 Cardiff

EUKER408 509 O EO 16/08/2021 21:30 57366 London                                             15035 Cardiff

EUKER569 509 I EB 12/11/2021 09:15 15035 Cardiff                                            57366 London

EUKER569 509 O EB 14/11/2021 14:30 57366 London                                             15035 Cardiff

EUKER885 509 O EJ 16/08/2021 18:00 57366 London                                             15035 Cardiff

EUKES556 509 I E5 21/07/2021 04:55 15255 Newport [S.Wales]                                  57366 London

EUKES556 509 O E2 23/07/2021 08:30 57366 London                                             15255 Newport [S.Wale

EUKES652 509 O E6 24/07/2021 11:30 57366 London                                             15035 Cardiff

EUKES796 509 I E8 26/07/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKES796 509 O EM 28/07/2021 20:30 57366 London                                             15255 Newport [S.Wale

EUKES967 509 O E9 26/07/2021 12:30 57366 London                                             15255 Newport [S.Wale

EUKES967 509 I EF 01/08/2021 12:45 15255 Newport [S.Wales]                                  57366 London

EUKET055 509 I EB 20/08/2021 09:15 15035 Cardiff                                            57366 London

EUKET055 509 O EF 22/08/2021 16:30 57366 London                                             15035 Cardiff

EUKET059 509 I E6 23/07/2021 05:25 15135 Cardiff (Castle)                                   57366 London

EUKET059 509 O E4 25/07/2021 10:30 57366 London                                             15135 Cardiff (Castle

EUKET100 509 O E6 24/07/2021 11:30 57366 London                                             15135 Cardiff (Castle

EUKET141 509 O EB 08/08/2021 14:30 57366 London                                             15035 Cardiff

EUKET203 509 O EE 29/07/2021 15:30 57366 London                                             15035 Cardiff

EUKET258 509 O E5 03/08/2021 11:00 57366 London                                             15035 Cardiff

EUKET283 509 O E4 24/07/2021 10:30 57366 London                                             15035 Cardiff

EUKET283 509 I EN 25/07/2021 16:00 15035 Cardiff                                            57336 London (Hammers

EUKET323 509 I EM 01/10/2021 15:00 15255 Newport [S.Wales]                                  57366 London

EUKET323 509 O EF 03/10/2021 16:30 57366 London                                             15255 Newport [S.Wale

EUKET356 509 I EC 05/08/2021 09:45 15255 Newport [S.Wales]                                  57366 London

EUKET356 509 O EF 07/08/2021 16:30 57366 London                                             15255 Newport [S.Wale

EUKET525 509 I EE 21/07/2021 11:45 15255 Newport [S.Wales]                                  57366 London

EUKET525 509 O EA 23/07/2021 12:30 57366 London                                             15255 Newport [S.Wale

EUKET547 509 I EC 11/08/2021 09:45 15255 Newport [S.Wales]                                  57366 London

EUKET547 509 O EI 14/08/2021 18:00 57366 London                                             15255 Newport [S.Wale

EUKET551 509 O E4 06/08/2021 10:30 57366 London                                             15035 Cardiff

EUKET878 509 I E9 28/07/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKET878 509 O EM 28/07/2021 20:30 57366 London                                             15255 Newport [S.Wale

EUKET982 509 O E4 01/08/2021 10:30 57366 London                                             15035 Cardiff

